"","rownames","bia_di","bii_di","bit_di","che_de","che_di","elb_di","wri_di","kne_di","ank_di","sho_gi","che_gi","wai_gi","nav_gi","hip_gi","thi_gi","bic_gi","for_gi","kne_gi","cal_gi","ank_gi","wri_gi","age","wgt","hgt","AgeGroup","Sex"
"23",23,42.3,26.4,31.2,18,30.9,14.6,10.8,18.6,13.8,117.7,99,74.5,75.9,92.2,53.4,31.2,26.9,36.2,33.3,23.5,16,22,66.2,172.7,"20-29","Male"
"24",24,42.7,29.9,35,21.8,32.8,14.3,11.2,19.8,14.1,123.9,101,90.6,89.6,101.2,59.5,37,28.3,35.4,40.6,22.9,17,24,86.4,176,"20-29","Male"
"25",25,44.8,27.8,32.2,18.3,31.5,15.2,11.6,19.4,14.7,120.6,101.6,81.4,81.6,98.8,61.3,39.4,31.9,38.5,41.2,22.8,18.2,26,81.8,173.5,"20-29","Male"
"26",26,46,30.1,34.5,20.2,31.1,16.4,13.3,22.2,14.9,129.5,108.8,89.5,89.5,106,59.5,37.5,30.1,39.9,41.5,23.5,19,24,89.6,178,"20-29","Male"
"27",27,45.4,31.8,35.2,20.2,32.3,14.6,10.5,20.2,15.3,115,100,85,94.5,105,62,35.5,28.5,38,40,23.5,16.7,21,82.8,180.3,"20-29","Male"
"28",28,40.5,28.3,33.4,19.2,28.8,14.6,11.1,20.8,14.5,116,88,73.5,77.7,97,56.3,32.5,27.8,39,38.2,23.5,17.8,24,76.4,180.3,"20-29","Male"
"29",29,39.4,25.5,30.2,17.6,27.7,13,10.2,18.9,13.2,107.8,88.7,75.8,83,89,52.6,31.2,26.5,37,37.4,21.5,16.5,23,63.2,164.5,"20-29","Male"
"30",30,40.2,27.2,31.7,18.1,26.5,13.3,10.1,18.6,13.2,100.2,84.5,74,81,93.5,50.5,27.5,24.8,34,32.8,21,15.6,19,60.9,173,"18-19","Male"
"31",31,44.2,30.3,34.7,19.4,30,14.9,11,19.1,15.8,113,93.6,77.5,82.1,95,56.5,32.8,26.2,37.6,36.3,21,16.6,23,74.8,183.5,"20-29","Male"
"32",32,41,23.6,30.2,22.9,28,14.3,11.2,18.2,14,117.9,105,74,72,90,54.2,34.1,28.6,36.2,36.6,22.4,17.2,25,70,175.5,"20-29","Male"
"33",33,44,31,35.3,19.2,31,15.2,11.4,21.2,15.1,112.5,90.9,74,78.8,96.4,51.8,29.8,27,36.4,34.6,22.9,17,23,72.4,188,"20-29","Male"
"34",34,41.6,32,35.3,23.6,27,15.5,11.3,20.9,15,110.5,91.2,82,89.5,100,57.5,32.8,28,40.7,40.1,24.3,17.2,23,84.1,189.2,"20-29","Male"
"35",35,41,25.1,31.9,20.8,27.9,13.6,10.8,18.8,12.9,112,98.4,73,83,95.4,56.3,36.4,27.5,37.2,34.5,21.8,16.9,23,69.1,172.8,"20-29","Male"
"36",36,41.5,24.5,30.5,17.7,26.7,13.3,10.8,18.6,14,104,85,70.5,84,90,50,29,26,36,34.5,21.5,17,20,59.5,170,"20-29","Male"
"37",37,41.1,27.8,31.4,19,31.5,14.5,11.9,18.5,13,114.8,97.2,75,77.2,91.3,49.5,31,26.1,36.3,35.1,21,17,22,67.2,182,"20-29","Male"
"38",38,38.8,27.2,31.6,18.5,25.5,13.4,10.8,19,14,108,91.5,72.1,79.2,91,54.9,29.5,24.5,36.1,37.2,22.9,16,24,61.3,170,"20-29","Male"
"39",39,36.2,27.5,30.4,18.7,28,13.6,10.8,19,15.4,111.2,91.2,78.8,78,93.2,55.8,31.9,27.4,36.4,35.1,23,16.8,22,68.6,177.8,"20-29","Male"
"40",40,42.1,27.5,32.4,18.2,28,16.2,12,21,16.4,118.3,101.1,77.5,78,97,55,37.7,29.9,38.3,39.6,23.3,18.7,24,80.1,184.2,"20-29","Male"
"41",41,40.3,29.4,32.9,23.7,31.5,14.6,11.3,19.8,15.2,115.2,104.3,91.5,93.2,103.9,62,36.3,29,36.7,39.4,23.1,17.6,21,87.8,186.7,"20-29","Male"
"42",42,41.7,27.1,32.6,21.6,28,14.1,11.5,19.7,13.8,129.9,110.8,84.9,83,102.6,66.4,42.3,30.9,37,37.7,22.6,17.5,23,84.7,171.4,"20-29","Male"
"43",43,37.8,27.1,31.5,18.5,27.3,14.6,10.8,19.5,14.9,112.9,96.3,79.1,78.3,97.1,60.1,35.5,28.8,36.9,38.2,23.4,16.7,24,73.4,172.7,"20-29","Male"
"44",44,39.2,26.1,30.8,19.4,29.9,14.3,11.2,20,16,112.2,102.7,77.9,77.9,90.7,56.7,35.4,28.3,35.6,35.5,22.9,17,35,72.1,175.3,"30-39","Male"
"45",45,41.5,30.8,33.3,19.4,30.6,14.8,11.3,20.2,16,117.1,103.9,91.7,89.4,101.8,61,35.7,29.4,37.7,40,22.2,17.9,29,82.6,180.3,"20-29","Male"
"46",46,42.5,27.8,33.5,20.6,30.2,15.9,12.8,22.4,16.3,118.7,105.6,86.6,87.3,103.9,63.2,37.8,29.7,39,40.2,24.3,18.9,25,88.7,182.9,"20-29","Male"
"47",47,39.4,26.1,34.4,20.4,27.3,15.1,10.6,20,15.3,109.2,95.8,84.7,84,101.4,60,35,28.5,38.4,37.9,23.2,16.8,23,84.1,188,"20-29","Male"
"48",48,43.6,33.1,33.5,21.6,33.1,15.6,12,20.7,16.5,128.1,111.2,90.3,93.5,108.7,66.9,40.2,32.4,39.2,40.1,25.7,17.7,20,94.1,177.2,"20-29","Male"
"49",49,38.9,24.9,28.7,19.7,26.8,14.2,10.2,18,14.4,113.3,100,79.7,87.1,98.4,61.1,36.3,28.6,34.5,36.1,21.4,16.3,25,74.9,172.1,"20-29","Male"
"50",50,37.6,24.4,28,18,26.4,14.2,10.6,17.3,13.4,108.4,91.6,73.1,75.4,86.5,50.6,30.8,26.1,31.7,33.6,20.3,15.8,29,59.1,167,"20-29","Male"
"51",51,39.4,28.3,30.6,20.2,28.7,15,11.5,18.4,14.4,118.7,108,79.8,82.5,94.8,58.3,39.8,29.6,34.2,38.1,21.1,16.9,23,75.6,169.5,"20-29","Male"
"52",52,38.5,26.1,30.8,20.6,30.8,15.1,11.4,19.8,14.2,126.3,109.6,81.6,86.5,100.9,61.7,39.5,31.7,38.8,36.5,22.7,17.9,23,86.2,174,"20-29","Male"
"53",53,40.1,27.8,33.1,19.2,31.3,15.4,11.5,20.6,15.4,124.2,105.7,76.8,83.4,98,56.8,37.9,30.9,35.9,38.3,23.4,17.3,36,75.3,172.7,"30-39","Male"
"54",54,40.3,28,32,20.9,31.7,14.8,10.6,19.4,15,126.7,109.1,85.9,90.4,100.9,61.3,40.1,30,36.8,38.6,21.9,16.4,25,87.1,182.2,"20-29","Male"
"55",55,37.6,26.6,29.9,17.3,25.6,12.8,10,17,13,103.3,88.8,73.3,77.9,85.7,46.9,30.5,24.8,31.1,30.5,19,15,24,55.2,164.1,"20-29","Male"
"56",56,38.3,25.2,30.2,17,26.4,13.2,10.4,18.8,13,101.2,86.1,69.9,67.4,84.1,50.8,31.5,26.6,32.8,36.3,20,15.8,20,57,163,"20-29","Male"
"57",57,39.7,28.6,32.1,19.1,27.1,13.4,10,18.2,14.8,104.3,91.3,72.7,83.2,91.4,51.2,27.8,26,34.8,34.7,21.1,15.3,52,61.4,171.5,"50-59","Male"
"58",58,42.2,29,33.7,22.5,30.4,15.6,12,19.8,16.2,113.2,100.6,82.7,83.5,98,55.8,33.1,28,37.9,39.1,23.2,17.7,50,76.8,184.2,"50-59","Male"
"59",59,41.1,30.4,35.1,23.2,32.6,15.5,11.6,21.5,15.4,121.9,105.5,90.1,89.2,104.5,62.7,36.3,29.6,38.4,42.4,25.3,17.5,46,86.8,174,"40-49","Male"
"60",60,40.5,29.3,33.7,19.6,29.8,13.8,11.7,19.7,14.4,113.1,97.5,82.9,83.6,95.8,52.6,34.5,27,35.2,35.2,21.4,16.5,51,72.2,174,"50-59","Male"
"61",61,41.5,28.6,30.4,20.8,26.9,14.8,11.2,20.7,16.5,108.5,94.4,77.9,79,91.7,57.1,31.2,27.5,36.6,37.5,21.6,16.1,28,71.6,177,"20-29","Male"
"62",62,43.4,32.4,36.4,20.3,32.1,15.6,12,20.8,16.3,113.9,99.6,92.5,96.2,103.4,58.5,34.5,28.4,38.4,38,22.4,17.2,48,84.8,186,"40-49","Male"
"63",63,43.5,26,31.6,19.1,30.9,14.3,11.4,19.5,14.6,112.6,98.1,77.8,77.2,90,52.4,33.2,26.4,34.2,36,21.8,17.5,35,68.2,167,"30-39","Male"
"64",64,41.3,27.1,32.4,17.5,27.6,14.1,10.8,20.2,15.5,110.2,93.6,72.7,77.3,91.7,51.9,32.1,27.4,33.5,33.8,21.1,16.9,23,66.1,171.8,"20-29","Male"
"65",65,40.3,29.5,33.3,18.4,26.2,14,11,19.4,14.8,108.7,93.4,75,79.2,94,53.8,34.2,27.9,36.1,36.2,22,17.5,23,72,182,"20-29","Male"
"66",66,36.3,29.2,33,20,29,14.1,11.7,20.4,14.3,104,92,76,83,93,54.5,29.5,26,37,34.5,22.8,17.4,62,64.6,167,"60-69","Male"
"67",67,39.9,28.3,32,18.3,31.4,13.5,11.4,18.9,14.4,115.2,99.2,82.7,84.2,93,56.6,32.4,27.6,35.8,36.3,21.8,16.7,21,74.8,177.8,"20-29","Male"
"68",68,39.8,28.8,33,19.7,28.7,12.4,10.7,18.5,13.2,111.9,97.6,80,85.7,97.4,57.8,33.8,28.6,36.2,37.4,22,17.2,26,70,164.5,"20-29","Male"
"69",69,43.5,33.2,34,23.9,34.3,15.8,12,18.6,13.2,127,108.8,107.1,107.2,108.3,67,39.6,30.6,40,39.6,24.6,17.7,33,101.6,192,"30-39","Male"
"70",70,41.2,26.6,30.6,19.5,28,13.1,10.4,19,13.8,111.2,91.9,76.2,78.1,90,52,30.7,25.8,34.8,32.6,21,16.1,36,63.2,175.5,"30-39","Male"
"71",71,44,28.4,32,22.5,29.7,14.9,10.9,21,14.8,122,105.2,90.2,88.6,100.2,60.8,35.7,29.4,39.2,39.1,24.5,17.9,41,79.1,171.2,"40-49","Male"
"72",72,41.8,28.5,31.6,21.6,31.5,13.3,10.3,18.9,14.3,114.5,98.3,89.4,87.4,97.7,54.8,31,26,36.4,35.6,21.6,16.6,40,78.9,181.6,"40-49","Male"
"73",73,42.9,27.5,30.3,18.9,29.6,12.6,10.4,19.2,13.8,109.5,92.5,80.9,78.5,96,59,31.5,26.3,36.1,39,21.2,15.6,27,67.7,167.4,"20-29","Male"
"74",74,38.7,24.6,28.5,18.3,29.8,14,11.2,18.9,13.6,110.8,92.5,73.5,76.4,92,53.1,30.6,27.1,36,36,23.8,17.5,27,66,181.1,"20-29","Male"
"75",75,41.4,26.4,32.3,18.6,31.3,14.9,11.5,18.9,14.6,118.8,101.6,70.9,76.7,95.3,56,36,28.6,36,34,22,17,23,68.2,177,"20-29","Male"
"76",76,39.6,27.5,30.2,19.2,28.9,13.5,10.4,19.3,14.2,108,94.6,76.1,78,86.3,52.4,28.6,23.9,34.5,37.9,22.7,15.8,31,63.9,174.5,"30-39","Male"
"77",77,40.5,27.5,32.3,19.4,28.8,12.6,10.6,18.4,14,114.3,92.5,81,85.2,92.5,54.7,32.3,26.8,35.8,37.6,21.1,15.8,26,72,177.5,"20-29","Male"
"78",78,34.1,28.1,30.1,21.8,25.8,12.9,9.9,18.6,12.3,105.4,88.2,72,72,85.5,50.2,28.6,24.8,34.9,35.1,20.1,15.4,23,56.8,170.5,"20-29","Male"
"79",79,43.5,28.8,34,20.6,29,14.3,10.5,19.8,14.2,115,91,76.8,80,94.5,54.6,33.2,28,37.5,35.6,22.1,16.3,24,74.5,182.4,"20-29","Male"
"80",80,44.1,29.2,35.3,23.6,30.9,15.8,12.5,20.2,15.2,119.5,106,86,92,103,60.6,34,29.8,38.8,39.5,23.6,18,24,90.9,197.1,"20-29","Male"
"81",81,42.2,32.6,36.6,22.4,34.5,14.1,11.1,18.2,13.9,130,115,98.5,106.6,116.5,67.8,35.8,27.2,38,41.2,23.3,16,34,93,180.1,"30-39","Male"
"82",82,42.2,30.1,31.4,21.2,29.7,14,11.6,21.6,14.1,113.3,100,79,82.5,98.5,62.1,34,28.8,39.6,40.8,25.9,18,21,80.9,175.5,"20-29","Male"
"83",83,43,26.5,31.6,20.6,29.5,13.4,10.4,18.8,13.6,113.2,94.7,77.5,80.5,92,54.2,30.9,26.6,36.5,35.8,21.3,16.5,25,72.7,180.6,"20-29","Male"
"84",84,39.8,28.7,33.3,19.3,29.2,13.5,11.6,19.5,14.6,106.9,92.5,75.2,80.2,91.6,49.6,29.2,26.1,36.2,35.7,22.1,16.7,34,68,184.4,"30-39","Male"
"85",85,37.7,29.7,32.7,20.2,28.8,13.3,11.1,18.3,13.2,113.8,96.7,82,82.2,92.7,54.6,32,27.1,35.6,36.4,20.7,16.2,31,70.9,175.5,"30-39","Male"
"86",86,39.6,27.9,33.3,20.2,29.5,12.6,10.7,18.5,12.9,117.3,97.4,79.6,80.8,95,54.2,32.6,27.4,36.5,38,21.6,16.6,40,72.5,180.6,"40-49","Male"
"87",87,43.2,26.3,30.5,19.7,30.6,14.4,12.3,20.2,13.6,124.2,106.7,75.2,77.8,94.5,57.4,36.7,29.9,38.1,36,22.6,17.3,21,72.5,177,"20-29","Male"
"88",88,44.3,28.2,32.2,21.2,31.8,14.2,11.6,20,14.4,123,106.2,88.6,88.3,100.5,63.4,36.9,29.4,38.4,38.6,23.1,17.3,33,83.4,177.1,"30-39","Male"
"89",89,43.3,28.2,33,19.4,31.6,13.8,11.1,17.8,13.2,117.8,103.6,81.5,83.3,91.8,55,33,27.8,35.4,36.5,21.9,16.4,25,75.5,181.6,"20-29","Male"
"90",90,42.8,27.5,31.5,19.2,31.8,14.1,11.1,19.1,14.7,118.8,98.3,79.9,82.4,87.5,54.4,33.5,27.3,36.8,37.9,22.3,16.6,29,73,176.5,"20-29","Male"
"91",91,41.5,30,33.4,19.1,29.4,14.8,11,19.8,13.8,112,87.8,73.5,77.5,94.9,53.5,34.3,28.5,36.5,35.2,22,17,27,70.2,175,"20-29","Male"
"92",92,42,27.6,32.2,19.7,29.4,13.9,10,18.7,13.8,113,99.8,80.3,80.8,93,55.4,33.3,28,36,37.8,20.3,16.5,44,73.4,174,"40-49","Male"
"93",93,41.2,27.1,29.8,20.1,31,12.9,11.6,18.8,13.5,116,104.6,81.5,85,92,54.1,33,28,35.1,35.2,21.1,16.3,26,70.5,165.1,"20-29","Male"
"94",94,43.8,29.5,31.2,18.2,29.5,13.1,10.3,19.1,13.2,112.8,86.5,74,76.5,91.3,53.5,30.5,26.1,36.6,38.6,21.2,16,22,68.9,177,"20-29","Male"
"95",95,46.2,31,36,25,33.1,14.6,12,20.9,15.1,125,110,104,99,111.7,63.2,37.5,29,41.2,39.3,24.6,18.6,37,102.3,192,"30-39","Male"
"96",96,40.4,28.6,31.4,19.8,27.6,13.9,10.1,20,13.4,108.3,93.2,76.2,83.8,92.8,55.2,31.2,26.2,36.8,37.7,22.7,16.2,38,68.4,176.5,"30-39","Male"
"97",97,40.8,27.1,29.4,17.8,29.4,13.3,10.4,18.5,12.8,108.2,90,76.5,77.7,91.2,54.2,33.1,27.2,35.5,35.3,21.5,16.2,20,65.9,169.4,"20-29","Male"
"98",98,43.9,27,33.5,22.3,31,13.2,10.4,19.1,13.1,113,98.4,81,80.5,96.2,56,32,27.4,37,35.5,24,16.5,21,75.7,182.1,"20-29","Male"
"99",99,44.2,27.9,32,21.6,32.9,14.3,11,21.1,14.9,115,107.2,88.8,86.8,100,61,34.6,27.9,38,39.4,23.2,17,24,84.5,179.8,"20-29","Male"
"100",100,41.6,28,35,24.2,31,13.4,11.2,20.6,14.4,123,108.3,94,98,108.2,66.8,35.6,27.3,39.5,43,25.3,17.7,45,87.7,175.3,"40-49","Male"
"101",101,38.1,30.1,33.2,21.6,31.3,14.2,12.3,19.2,15.2,120.2,105.7,83.4,86.5,101.1,61.3,34.7,29.4,39.4,41.8,24,17.8,25,86.4,184.9,"20-29","Male"
"102",102,42,28,33,18.1,28.4,14.3,11.1,20.2,15.2,114,88.5,77,79,93,51.7,33.5,27.9,38.4,38.5,22.5,17.5,22,73.2,177.3,"20-29","Male"
"103",103,37,27.3,31.1,18.2,25,13.2,10.5,18.7,13.4,102.9,79.3,75.4,78,88.6,50,25.6,22.7,33.8,32.5,21.2,14.6,29,53.9,167.4,"20-29","Male"
"104",104,41.6,27.5,32,18.1,29.5,13.8,10.7,19,13.9,112.5,90.9,80.3,80.8,92.8,53.9,32.5,28,36.5,35,21,16.4,37,72,178.1,"30-39","Male"
"105",105,40.1,19.4,28,17.1,26.8,13,10.6,16.9,12.6,104.5,90.2,68,67,81.5,49.5,27,23.6,34,34.5,20.9,16,20,55.5,168.9,"20-29","Male"
"106",106,38.7,25.2,28.8,19.1,25.6,13,10.2,17.9,13.5,111.3,91.6,80.6,78,91.3,55,30.7,25.3,35.5,34,20.8,16.4,20,58.4,157.2,"20-29","Male"
"107",107,37.4,29.9,33.5,22.3,30.8,14.4,11.5,20.5,16.8,117.2,105.2,88.6,94.7,94.7,58.3,36.9,28.8,40.3,39.7,26.3,18.1,32,83.2,180.3,"30-39","Male"
"108",108,41.7,28,32.9,19.4,29.7,14.6,11,19.5,15.3,112.8,97,81.1,88.2,93.9,53.5,33.7,28.6,35,37.3,23.1,16.7,23,72.7,170.2,"20-29","Male"
"109",109,38,27.1,28.3,18.2,25.9,13.8,11,18.9,14.8,104.8,85.3,70.8,84.9,89.4,55.8,28.7,25.5,38.5,34.2,21.3,15.6,25,64.1,177.8,"20-29","Male"
"110",110,40.5,24.9,29.7,19,30.2,14.4,11.8,19.5,14.9,117.7,99.6,73.3,82.1,89.3,55.4,36.3,32.5,34.3,34.3,22.3,18.4,27,72.3,172.7,"20-29","Male"
"111",111,35.6,28.5,29.4,17.7,25.2,14,10.8,19.1,15,107.7,94.3,75.9,79.1,92.6,54.4,33.2,27.9,34.8,35.5,23,16.3,21,65,165.1,"20-29","Male"
"112",112,43.6,30.2,32.4,21.8,33.1,15.2,11.3,19.8,15.2,125.2,111.8,86.2,93.5,96.3,59.1,36.3,28,38.3,34.7,23,16.1,27,86.4,186.7,"20-29","Male"
"113",113,37.6,24.4,28.3,17.7,24.7,12.9,10.8,18,14.3,109.1,94.3,75,82.2,88,53.8,36.3,28.9,34.5,33.5,23,17.1,25,65,165.1,"20-29","Male"
"114",114,41.1,31.7,34.2,22.8,34,13.8,11.8,19.4,15.4,122.6,106.1,101,99.7,105.5,60.2,38.6,30.3,39.5,39.4,25.6,18.3,38,88.6,174,"30-39","Male"
"115",115,42.1,30.6,34,22.1,30.6,15,11.4,20.2,15.4,117.3,102,90,92.3,102.3,60,34.6,29.7,38.2,38.3,23.7,18,44,84.1,175.3,"40-49","Male"
"116",116,40.5,28.3,32.4,19.4,27.8,13.4,11,19,14.5,109.1,94.8,75,79.6,91.6,49.4,30,26.5,31.7,30.2,16.4,16.1,27,66.8,185.4,"20-29","Male"
"117",117,40.9,28.5,31.3,21.1,29.7,14.3,11.7,19,15.6,116.7,102.9,75.9,77,93.4,55,35.2,28.7,37,37.7,24.5,17.3,37,75.5,177.8,"30-39","Male"
"118",118,43,30.6,33.8,23.3,35.3,15.6,12,21.6,16.4,124.9,115.8,96,95.9,103.6,62.2,38.2,30.1,41.2,39.4,25.1,17.7,28,93.2,180.3,"20-29","Male"
"119",119,40.5,27.8,31.1,21.8,30.6,15,11.6,20.4,15.2,118.6,105.4,84,90.4,94.8,57.6,38.7,30.2,38.6,38.2,22.8,18.2,33,82.7,180.3,"30-39","Male"
"120",120,41.9,25.4,30.2,14.4,26.8,12.6,9.8,18.8,13.6,108.8,87.1,67.1,80.4,85.9,46.8,30.3,25.4,32.7,32.1,20,15.3,25,58,177.8,"20-29","Male"
"121",121,42.1,28.5,33.1,20.2,30.6,15.6,12.2,19.7,15.6,121.9,104.1,82.5,90.1,98.4,57.7,37.9,31.6,37.8,38.3,24.6,18.1,21,79.5,177.8,"20-29","Male"
"122",122,43.8,29.2,32.6,18.7,30.4,14.6,11.7,20,15.2,117.3,95.8,83.7,84.2,98.4,56.2,33.7,28,38,39.6,25.8,17.6,30,78.6,177.8,"30-39","Male"
"123",123,42.1,28.5,31.7,19.4,28,14,11.3,19,14.4,115,98.6,76.7,85.8,93.3,56,35.7,27.6,34.7,34.6,20.6,16,26,71.8,177.8,"20-29","Male"
"124",124,43.4,32,36.2,23.5,35.6,16.1,12.6,23,16.3,134.8,118.7,105.2,105,115.5,69.9,39.4,32.1,42.2,47.7,27,19.2,27,116.4,177.8,"20-29","Male"
"125",125,38.7,26.8,31.5,21.4,27.8,13.8,10.8,18.2,13.3,113.8,100.9,90.6,93.3,97.7,58,34.8,28,34.1,35.8,22.2,16.3,33,72.2,163.8,"30-39","Male"
"126",126,39.6,28.7,32.4,18.2,28.3,15.2,11.8,19.6,14.8,119.4,98.5,85.7,92.9,98.6,55.5,35.3,28.7,39.3,35.9,23,17.4,29,83.6,188,"20-29","Male"
"127",127,43.4,30.6,32.9,21.6,28.3,15,12,20.5,17.2,117.9,96.9,82.5,90.8,94.9,54.4,32.8,28.7,39.2,37,27.5,17.9,27,85.5,198.1,"20-29","Male"
"128",128,40.5,29.7,31.7,22.1,32.6,15.2,11.3,21.2,15.2,127.3,110.7,94.7,92,101.3,60.1,37.2,30.9,40.5,40,24.2,17.6,34,90.9,175.3,"30-39","Male"
"129",129,40.3,30.4,34.2,21.1,34,13.6,12,19.2,13.8,118.8,108,105.2,103.4,108.1,60.5,38,30.2,36.9,37.7,21.6,18.3,42,85.9,166.4,"40-49","Male"
"130",130,44.2,30.6,33.8,22.1,32.4,15.3,11.5,20.9,16.5,122.4,109,86,90.2,98,59.5,40,31.2,38.3,39,25.8,19.5,29,89.1,190.5,"20-29","Male"
"131",131,41.3,26.8,32.2,21.4,31.1,13.6,11,19.1,15,111.5,104.2,90.9,92.7,100.2,51.8,30.1,26.8,38.1,36.4,23.2,16.3,41,75,166.4,"40-49","Male"
"132",132,39.8,25.6,31.3,23.5,32,14,11.2,21.2,16.4,113.2,100.5,92.4,92.4,97,50.9,32.9,29,37.7,37.7,23.4,17,43,77.7,177.8,"40-49","Male"
"133",133,41.3,29,32.2,25.2,30.8,14.4,11,19.7,15.8,115.3,105.7,96.5,98.2,97.4,54.3,31.9,28.5,37.7,39.3,24.5,17.1,43,86.4,179.7,"40-49","Male"
"134",134,38.9,27.5,32.9,22.5,33.3,14.6,11,20.5,15.3,122.5,112.4,98.4,101.5,107.9,67.4,39.2,30.5,42.6,40.7,25.3,17.5,29,90.9,172.7,"20-29","Male"
"135",135,41.1,25.6,29.9,23.3,25.2,14.1,10.7,19,15.1,114.4,96.2,76.7,83.5,93.9,50.4,32.1,27.7,36.1,32.9,23.2,17,27,73.6,190.5,"20-29","Male"
"136",136,41.5,30.6,35.8,21.1,28,15,11.8,21,15.6,112.8,97.5,94.8,98.2,98.6,48.3,31.1,27,37.7,36.8,24.6,18.4,62,76.4,185.4,"60-69","Male"
"137",137,38.5,27.8,31.7,19.7,26.4,13.1,11,18.4,14.8,112.2,90.9,80.1,79.8,91.3,56.2,32.9,27.2,36.2,33,23,16.8,33,69.1,168.9,"30-39","Male"
