"","rownames","bia_di","bii_di","bit_di","che_de","che_di","elb_di","wri_di","kne_di","ank_di","sho_gi","che_gi","wai_gi","nav_gi","hip_gi","thi_gi","bic_gi","for_gi","kne_gi","cal_gi","ank_gi","wri_gi","age","wgt","hgt","AgeGroup","Sex"
"14",261,34,25,27,16.9,22.6,10.6,8.3,15.9,11.6,88.7,76.7,62,74.1,80.9,48.8,24,20.5,30.8,30.4,17.9,13.2,29,42,153.4,"20-29","Female"
"15",262,35,26.5,31.6,18.3,23.7,11.5,8.6,16.8,12.2,96.6,76.7,63.4,69,87.7,54,25.6,21.6,34.4,32.8,19.1,13.8,22,50,160,"20-29","Female"
"16",263,35.6,25.8,32,16.2,25.7,11.5,9,17.2,11.8,92,82,71,69,88.5,54.5,26,21.8,33.5,35,21,14,25,49.8,147.2,"20-29","Female"
"17",264,36.2,27.4,29.5,14.6,23.9,11.2,9.6,16.7,12.6,90,79,59,79,88.5,51.2,23.5,21,32.5,29.6,18.5,14.5,23,49.2,168.2,"20-29","Female"
"18",265,39,28.4,34.9,19.6,26.7,13.4,11,18.9,13.6,104,89.5,74,92,101,61.5,31,26.5,38.6,38.6,23.8,17,37,73.2,175,"30-39","Female"
"19",266,32.6,25.6,30,15.3,22.6,10.3,8.1,16.2,11.6,90.1,73.5,60.5,68.3,88.5,54,24.6,20.6,29,33,19,13.2,19,47.8,157,"18-19","Female"
"20",267,37.6,30,33.9,19.1,28.8,13.4,10.5,19.2,13.2,104,90,75,80.5,99,59,28.7,24.9,37,36.5,20.6,15.9,23,68.8,167.6,"20-29","Female"
"21",268,36.3,27.5,31,15.4,24,11.1,9.4,16.4,12.3,91,80,65,78.3,91,53.5,27,23,32,31.5,22,13.8,25,50.6,159.5,"20-29","Female"
"22",269,38,29.6,32.7,21.3,28.7,13.7,10.6,21.5,14.4,111.4,94.5,82.2,94.2,110.2,69,32.5,26.8,40.5,38.6,23,16.6,26,82.5,175,"20-29","Female"
"23",270,37,27.9,30.8,15.1,26.8,13.2,8.9,18.1,12.3,96.2,83.8,70.2,82.5,94.2,54.1,25.9,23.2,34.3,30.9,19.4,14.5,24,57.2,166.8,"20-29","Female"
"24",271,42.6,31.8,34.8,19.9,30.4,12.5,11,21,14.2,117.1,95.2,85,91.2,111,68,34.4,28.3,40.1,40,24.2,17.6,29,87.8,176.5,"20-29","Female"
"25",272,37.5,29.2,35.1,19.6,27.5,13.1,10.2,20,13.1,101.5,91,75,85,103,62,31.5,26.5,38.2,40,23,16,22,72.8,170.2,"20-29","Female"
"26",273,36.1,28.2,32.3,15.8,25,12,10.2,18.4,12.9,95.1,80,63,76.5,90,51.1,24.6,22.3,35.2,33.7,20.9,15.2,30,54.5,174,"30-39","Female"
"27",274,39.1,27.5,34,17.2,25.6,12.6,10,18,12.7,97.1,81.7,70,81.5,96,57.9,26.3,22.6,37.2,36,21,15,23,59.8,173,"20-29","Female"
"28",275,39.6,28.6,31.2,18,27.2,12.4,10.1,19.3,13.8,101.4,89.6,72.6,86.3,93.7,56.4,27.4,23.4,37,38.4,21.3,15.6,38,67.3,179.9,"30-39","Female"
"29",276,40.5,29.6,34.9,17.4,27.5,12.6,10.4,18.8,13.1,103.7,90.9,78.7,83.5,101.5,59.9,29.5,25.3,35.4,36.7,21.3,15.6,23,67.8,170.5,"20-29","Female"
"30",277,35,26,29.8,16.1,22.3,12.4,9.5,17.2,12.3,89.2,78.5,61,73,82.5,49.5,24.5,22.5,32.5,33,20.5,14.5,19,47,160,"18-19","Female"
"31",278,34.5,26.4,30.1,18.6,23.5,11.3,8.9,17.2,12.3,86,78,64.2,69.8,89,53,23.2,21.2,33,31.5,20.5,14,46,46.2,154.4,"40-49","Female"
"32",279,35.6,27.9,32,15.6,23.9,11.9,9.6,18.2,12.7,98.1,80.2,63.1,78.9,93.9,57.1,26.4,23.1,35,35,20.1,14.9,20,55,162,"20-29","Female"
"33",280,39.1,29.7,33.7,20.1,29.5,13.2,10,20.3,13.6,114,99,85,92.5,106.4,65.6,31.6,26.6,39.6,38.9,23.3,15.9,22,83,176.5,"20-29","Female"
"34",281,36.6,28.2,32,14.3,26,11.8,9.9,18,12.7,95,80,66,78,92,52.5,25,22.2,33,34.8,20.5,14.4,25,54.4,160,"20-29","Female"
"35",282,34.8,26.3,29.9,16,22.9,11.3,9.2,16.5,11.8,87,75.5,65,76.7,86,51,24.5,20.5,31.5,31,20,14,21,45.8,152,"20-29","Female"
"36",283,36.7,22.1,28.3,16.7,27.5,12.3,10.1,16.8,12.4,100.8,82.6,63.2,70.5,89.1,55.8,27,23.6,33.6,33.4,20,15.6,23,53.6,162.1,"20-29","Female"
"37",284,39.7,31.6,34.5,19,24.9,12.7,10.4,18.2,13.1,112.2,94.5,83.6,94.2,104.1,61.5,31,25.4,37.2,35.2,22.3,16.1,31,73.2,170,"30-39","Female"
"38",285,35.5,24.3,29.5,15,26,11.5,9.4,17.2,12.1,98.7,83.9,68,76.1,88,52.2,26.2,23.2,33.2,35.3,21.2,14.6,29,52.1,160.2,"20-29","Female"
"39",286,36,28,30.8,17.3,25.9,12.9,9.8,17.8,13.8,100.1,92.8,75.7,88.6,102.6,64.3,31,24.9,35.5,38,21.5,15.3,19,67.9,161.3,"18-19","Female"
"40",287,35.8,26.4,32.2,17.3,24.9,12.7,10.4,18.9,14,100.3,85.3,65.5,74.4,95.9,53.7,27.8,23.9,35.6,33.4,21.9,15.2,21,56.6,166.4,"20-29","Female"
"41",288,37.6,27.3,32,18,25.6,12.4,9.4,18.8,13.6,100.5,84.4,66.9,79.7,98.8,59.2,28.5,23.7,35.9,34.6,20,15.1,23,62.3,168.9,"20-29","Female"
"42",289,37.6,28.7,30.8,19,25.2,13.1,11.5,18.6,13.6,101.2,87.6,67.9,82.7,93.5,57,29.6,24.5,37.1,36.3,20.6,15.2,24,58.5,163.8,"20-29","Female"
"43",290,34.9,28,30.8,15.6,24.2,11.2,9.2,17.9,13.2,96,81,67.8,73,92.9,55.8,26.3,23,32.3,30,18.8,14.3,20,54.5,167.6,"20-29","Female"
"44",291,33.3,24.9,27.8,17.3,23.3,12.8,9.8,17.4,12.9,92.8,84.1,63.2,75,86.9,52.1,26.5,23.5,32.3,31.6,18.9,15,19,50.2,160,"18-19","Female"
"45",292,36.2,27.1,29.9,16,24.2,11.8,9.2,17.3,12.6,95.5,88.2,73.1,80,94.9,57.2,27,24.3,34.9,35.7,22,15.1,20,60.3,161.3,"20-29","Female"
"46",293,33.3,29.2,32,14.8,25.9,12.6,10.4,18.4,13,98.7,88.1,65.3,75.8,95.3,55.7,27.7,24.5,33.1,35.4,21.2,15.7,19,58.3,167.6,"18-19","Female"
"47",294,36,25.2,30.8,16.5,24.2,12.6,9.2,17.6,13.2,96.9,84.9,65.6,75.5,93.3,57.4,27.7,24.2,35.1,35.6,21,14.7,20,56.2,165.1,"20-29","Female"
"48",295,34,27.3,29.9,17,24,12,9.2,16.8,12.4,91,81.2,62.7,75.4,90,54,25.3,22.7,32.6,32.9,19.8,13.8,19,50.2,160,"18-19","Female"
"49",296,36.2,28.7,31.3,19.2,27.1,12.8,10.5,18,14.4,106.3,91.6,81.8,96.5,99.3,60.7,28.3,25.2,35,36.3,21.4,15.3,22,72.9,170,"20-29","Female"
"50",297,34.9,27.1,31.5,19,24.9,12.4,9.8,18,13.8,99.8,88.4,72.1,87.3,95.6,59.2,29,24.8,34.3,37.1,21.9,14.3,39,59.8,157.5,"30-39","Female"
"51",298,37.4,28.3,31.3,16.3,25.6,12.9,11,18.4,14.3,105,87.6,68.6,80.7,95.8,56.6,28.5,24.1,35.6,34,20.7,15.5,18,61,167.6,"18-19","Female"
"52",299,33.8,28.7,32.2,18.7,25.4,12,8.9,17.4,13,106.2,91.3,80,97.9,104.6,62.7,30,23.1,36.3,36,21,14.6,19,69.1,160.7,"18-19","Female"
"53",300,34,27.3,32.2,19,24.2,12.9,10.6,17.9,13.4,97.7,87.2,64.9,75.9,92.2,53.1,28,24.2,34,35.4,20.7,15.5,26,55.9,163.2,"20-29","Female"
"54",301,34.4,23.5,26.8,16.5,24.4,11.7,9.2,16.8,12.4,97.4,82.2,61.7,66,80.7,50.3,23.7,21.6,30.5,33.8,20.7,14.6,20,46.5,152.4,"20-29","Female"
"55",302,34.7,27.8,32.6,16.5,24.2,12.6,9.8,17.6,12.6,96.3,82.1,64,73.6,98.1,56.8,25.8,23.9,33.7,34,20.3,14.6,20,54.3,157.5,"20-29","Female"
"56",303,35.6,26.4,32.2,15.1,26.6,13,10,17.6,13.8,98,82.6,58.6,73,89.6,54.9,27.1,23.1,33.2,35.8,20.7,14.4,26,54.8,168.3,"20-29","Female"
"57",304,33.8,29.7,32.4,17.3,25.4,13.4,9.6,18.4,13.4,94.5,86.5,68.3,89.2,94,57,26,22.6,35.9,32.5,19.7,14.6,21,60.7,180.3,"20-29","Female"
"58",305,37.8,26.6,33.1,16.5,27.1,12.4,9.8,18.3,13,101.4,85.3,69.5,74.9,94.7,55.7,24.9,22.8,34.9,37.1,20.1,14.9,21,60,165.5,"20-29","Female"
"59",306,38.3,30.4,32.2,18.7,26.4,12.4,9.4,18.1,12.7,95.1,84.7,70.5,86.1,94.1,54.6,28,23,33.5,33.5,20,14.6,38,62,165,"30-39","Female"
"60",307,40.3,29.2,32.9,16.5,26.4,13,9.4,18.6,12.9,101.1,86.8,69.8,76.5,93.7,55.7,25.4,23.4,35.9,34.2,21.5,15.1,23,60.3,164.5,"20-29","Female"
"61",308,38.9,27.5,31.1,15.6,26.8,12.4,10,18.4,13.6,97.4,85.2,69,76.3,86.7,51.5,26.6,22.7,31.6,33.3,19.6,15.3,37,52.7,156,"30-39","Female"
"62",309,39.4,29.2,34.7,18,28.3,13.4,10.5,19.8,13.1,104.8,93.9,81,93.2,105.9,65.5,31.3,26.8,38.1,37.7,21.7,15.9,19,74.3,160,"18-19","Female"
"63",310,35,27,33,19.3,25,11.5,9.9,17.1,13,94.5,84.5,71,80.5,97.5,59.5,28,23,34,34.2,20.6,15,25,62,163,"20-29","Female"
"64",311,40.7,29,35.3,17.7,28.5,13.8,10.8,19.8,14.3,103.2,90.7,73.6,79.8,105.3,65.8,29.5,26.6,38.8,39.7,24.3,15.9,20,73.1,165.7,"20-29","Female"
"65",312,39.6,30.4,34.2,21.4,26.8,14.2,10.6,20.7,13.1,110.8,97.4,96.3,104.2,102.6,57.5,34.3,26.5,38.3,41.1,22.9,16.4,41,80,161,"40-49","Female"
"66",313,36.9,28.3,32,17,25.6,10.9,9.4,17.3,12.6,94.6,83.3,65,68.2,91.6,55.3,27.7,23.2,33,31.5,18.9,14.1,26,54.7,162,"20-29","Female"
"67",314,35.6,25.7,29.1,15.5,26,11.5,9.5,17.8,12.1,96.6,82.1,62.8,70.6,83.9,51.5,24.6,21.4,34,34.8,20.9,14.3,21,53.2,166,"20-29","Female"
"68",315,38.2,30,35.5,19.4,26.7,12.6,10.8,19.5,13.6,102.8,92.2,83,101.4,108.1,65,29.8,24.6,38.1,37.8,20.7,16.6,47,75.7,174,"40-49","Female"
"69",316,36.9,29,33.7,15.6,27,11.5,10.2,18.4,13.8,96.9,83.6,67.6,86.2,99.1,57.5,26.4,23.3,38.5,35,22.1,15.6,19,61.1,172.7,"18-19","Female"
"70",317,36.9,26.9,31.9,16.1,25.2,13.4,10,18.8,14.3,95.6,82.6,65.4,74.8,89.3,53.7,26.4,23.8,34,33.7,19.1,14.7,44,55.7,167.6,"40-49","Female"
"71",318,34.8,26.4,29.8,14.9,25.2,12.2,9.1,18,12.4,92.4,77,61.6,74,89.9,53.6,26.3,23.1,33.3,32.4,19,14.2,35,48.7,151.1,"30-39","Female"
"72",319,36.6,27.5,30,17.7,24.1,12,9.3,17.7,13.2,93.7,79.3,63.2,75.5,85.8,51.6,24.2,22.4,32.5,31.3,18.4,14.7,32,52.3,164.5,"30-39","Female"
"73",320,36.9,27.4,31,18.2,25.7,12.8,10.4,17.8,14.1,96.1,84.3,59.4,74,85.8,51,26.9,23,32.8,32.1,19.7,15,46,50,163.5,"40-49","Female"
"74",321,36.9,26.4,32.4,16.6,26,12.6,10.5,18.9,14.4,100.1,85.6,62.7,74,96,61.5,28,23.6,35.4,38.5,21.3,15.4,22,59.3,152,"20-29","Female"
"75",322,36.9,30.2,34.6,17.5,26.2,13.2,10.4,19.4,14.3,98.8,85,66.6,82,98.7,60.3,30.4,25.2,35.7,38.2,21.8,15.9,49,62.5,169,"40-49","Female"
"76",323,36,28.6,32,17.5,24.1,12.8,9.8,18.7,13.8,92.2,79.1,64.6,82.5,94.9,54,24.7,21.7,37.4,35.5,21,15,52,55.7,164,"50-59","Female"
"77",324,36.2,30.2,31.2,16.8,27.7,11.5,9.4,17.4,13.1,97.3,85,65.7,77.7,90.5,56.1,29.4,23.1,33.2,34.4,20.3,14.4,25,54.8,161.2,"20-29","Female"
"78",325,35.1,28.1,30,17.1,25.2,12,9.6,19,14.2,90.5,79,63,79.2,86.6,48.5,26.4,22.5,32.2,30.3,20.2,15,48,45.9,155,"40-49","Female"
"79",326,38.8,27.2,33.4,17.2,31.6,12.9,11,18.2,13.4,110.5,96.2,78.5,93.4,103,59.6,30.2,25.9,37,35.2,23.2,16.2,41,70.6,170,"40-49","Female"
"80",327,36.4,26.2,32.2,17.3,25.8,13.1,10.1,17.9,12.6,103,86,68.2,76.2,97.9,59.8,29.8,25,36.8,38.1,21.8,16.2,18,67.2,176.2,"18-19","Female"
"81",328,38.6,24.2,34.4,15.3,29,13.1,10.4,22.1,14.4,109,89.8,68.5,80.2,98.1,62,30.1,26.2,40.9,40.4,23.3,16.4,30,69.4,170,"30-39","Female"
"82",329,36.5,26,30.7,15.9,26.8,12.1,10.3,17,12.4,104.8,84.5,68.8,70.6,94.8,56.5,27,23.4,34.4,35.2,21.6,14.6,20,58.2,162.5,"20-29","Female"
"83",330,37.5,27.4,31.2,18.9,26.5,14,11,19.1,13.5,109.2,88.2,69,77.6,96.5,57.6,28.6,25.2,37,35,22.2,16.2,24,64.8,170.3,"20-29","Female"
"84",331,39.9,20,32.4,17.6,31.9,13.6,10.4,18.5,13.4,117,99.5,78,87.5,103,64.8,31.1,26.6,35.2,36.7,21.8,16.2,23,71.6,164.1,"20-29","Female"
"85",332,34.4,26.1,30.5,18.8,25.2,12,9.9,17.5,12.7,93.9,76.1,62,70.8,86.8,52.6,24.3,22.3,34.2,34.8,20.2,14.4,30,52.8,169.5,"30-39","Female"
"86",333,38.7,23.5,33,16.4,27.6,12.6,9.9,17.5,12.6,105.5,85.8,65.8,70.5,89.3,57.4,27,23.2,36.8,36.2,22.1,15.8,23,59.8,163.2,"20-29","Female"
"87",334,32.6,24.6,29.4,15.8,25,11.3,9.2,16.9,11.9,99.4,82,65,77.2,89.5,53.4,26,21.4,34,33.9,21.4,14.4,45,49,154.5,"40-49","Female"
"88",335,34.5,25.6,29.2,18,24.2,10.1,9,16.3,11.5,89.5,77.5,64.9,74.5,88.4,53.4,25.6,22.4,30.9,32.6,19.1,14,20,50,159.8,"20-29","Female"
"89",336,36.7,28.2,33,17.5,25.6,12.2,10.1,17.8,13.5,98.5,85.7,71.5,82,100.5,60.4,28,24.2,36.6,36.4,21.8,15.6,20,69.2,173.2,"20-29","Female"
"90",337,36.5,27,31.6,16.6,24.4,11.9,9.7,18,12.5,94.9,78.8,61.4,78.8,94,56.4,27.1,22.8,35.4,34.8,21,15,23,55.9,170,"20-29","Female"
"91",338,34.2,28,31,20.4,25.6,12.4,9.7,18.5,13,96.3,88,75.4,90,101.3,63.1,28.4,22.6,37.6,34.3,21.7,14.8,21,63.4,161.4,"20-29","Female"
"92",339,37.8,28.6,30.7,17.3,25.4,11.8,10.6,18.8,13.3,96.8,80.2,67.2,78.3,95.5,54.7,27,22.2,36,35.4,22.2,15.6,28,58.2,169,"20-29","Female"
"93",340,35.7,25.5,32.5,16,27.2,11.9,10,18.6,13.6,102.5,85.6,69.5,75.5,95.3,57.6,28.5,24.4,35.2,35.4,21.8,15.4,45,58.6,166.2,"40-49","Female"
"94",341,33.9,24.3,29.5,15.8,26,11.6,9.4,16.3,11.2,95.2,81.3,57.9,66.4,84.1,49,26.6,22.2,33.6,33,19.6,14,24,45.7,159.4,"20-29","Female"
"95",342,35.2,24.1,26.9,17.9,23.6,12,9.5,17.5,11.5,103,84.6,64.4,77.9,91,53.4,26.6,23.3,32.7,33,19.4,14.2,25,52.2,162.5,"20-29","Female"
"96",343,37.1,24.3,28.4,16.2,25.8,12.1,9.8,16.8,12.2,99.1,82.2,62.3,68.7,83.9,52.8,24.4,22.1,32.4,32.5,21,14.8,19,48.6,159,"18-19","Female"
"97",344,37.7,26.2,30.8,17.8,25.2,12.4,10.2,17.2,11.8,104.1,84.9,68.7,78.6,93.1,55.2,28.2,23.8,34.6,34.3,21.5,15,20,57.8,162.8,"20-29","Female"
"98",345,37.8,28.1,30,17.9,24.9,11.1,9.6,18,13.2,99.5,81.5,68,84.6,92.3,55.4,27.4,23,34.5,35.3,21.6,15.6,29,55.6,159,"20-29","Female"
"99",346,39.3,24.5,32.3,21.4,29.5,13.4,10.9,18.2,13,110.2,89.9,66,79.9,97.1,59,27,24.2,37.2,39,23.2,16.2,24,66.8,179.8,"20-29","Female"
"100",347,37.2,24.4,29.4,18.1,27.3,12.3,9.9,17.1,12.2,107.1,89.8,71.2,85.7,97.5,58.2,28.2,25.2,34.2,34,20.4,15.4,24,59.4,162.9,"20-29","Female"
"101",348,36.1,26.8,31,16.2,24,11,8.9,17.8,12.2,95.7,80.8,64.8,79.8,92,57.4,26.5,22.6,31,35.2,20.4,14.4,25,53.6,161,"20-29","Female"
"102",349,35.2,25.1,33,20,26.6,11.6,9.1,21,12.6,103.4,88.4,78,85.6,112.1,75.7,33.8,24.6,38.2,39.8,22,14.4,31,73.2,151.1,"30-39","Female"
"103",350,35.8,27.7,28.9,16.4,25.6,11.5,9.1,17.1,12.3,94.6,80.2,60.7,77,89.9,53.3,25.2,22.4,34.2,32.2,19,14.6,22,53.4,168.2,"20-29","Female"
"104",351,35,25.6,32.5,17.9,27,12.6,9.8,18.6,12.9,104.5,89.5,75,95,104.9,63.2,29.6,23.9,37.6,36.6,22,15.1,20,69,168.9,"20-29","Female"
"105",352,37.8,29.9,31.1,17.3,25.8,10.9,9.4,15.7,11.5,97.7,83.7,68.6,83,94.2,58,26.2,22.1,32.2,35.9,19.9,14.6,32,58.4,173.2,"30-39","Female"
"106",353,35.7,27,29.8,16.5,26.2,12.1,9.6,18,13.6,96.4,82.5,67.1,75,90.4,53.2,27.3,23.6,35.9,36.6,23.8,15.3,25,56.2,171.8,"20-29","Female"
"107",354,39.5,29.8,31.5,19.2,25.4,13,10.6,19.1,13.4,103,85.5,68,84.5,99.5,60.8,26.5,24.2,40.5,39.4,23.2,15.8,19,70.6,178,"18-19","Female"
"108",355,38.8,26.3,31.5,19,25.9,11.6,9.9,18.8,13.1,103.4,88.3,71,87.1,98.7,59.2,28.2,23.6,35.6,35.8,20.8,15.5,23,59.8,164.3,"20-29","Female"
"109",356,37.9,29,32.9,18.6,27,12.7,10.6,18.2,12.1,109.5,91.5,76,82.5,103.5,64.8,29.5,25.2,39.2,37,21.8,15.8,22,72,163,"20-29","Female"
"110",357,37.7,25,30.4,16.6,29.3,12.4,10.2,18.6,12.7,110.7,92.2,70.3,82.8,100,59.6,30.8,25.4,37,37,23,16,20,65.2,168.5,"20-29","Female"
"111",358,38.2,25.9,30.2,16.9,24.8,11.7,9.4,16.9,11.7,102.2,80.5,69.5,81,95.2,56.2,27.4,23.8,35.4,34,21.3,15.2,27,56.6,166.8,"20-29","Female"
"112",359,40,31,35.8,21.3,33.2,14.1,12.2,24.3,12.9,129.5,108,101.5,105.5,114,70,40.3,30.8,45.6,45,25.8,18.2,34,105.2,172.7,"30-39","Female"
"113",360,35.7,28.3,29.6,17.4,23.3,10.7,8.7,16.8,11.3,99.2,80,67.2,75.2,91.2,53.6,27.1,23.2,34.6,34.2,20.3,14.2,25,51.8,163.5,"20-29","Female"
"114",361,35.7,25.9,29.3,14.7,29.1,13.2,10.9,18.1,13.1,104.7,89.5,68.7,81,93.8,58,30,24.4,35.9,37.4,22,16,26,63.4,169.4,"20-29","Female"
"115",362,36,27.6,29,18.6,25,11.8,9.2,18,11.4,98.9,84.9,66,81,92,56.2,26.4,22.6,35.4,35.6,21,14.5,19,59,167.8,"18-19","Female"
"116",363,35,25,27.2,15.4,23.4,10.8,8.7,16.8,12.2,98.5,80.8,67.5,75.4,85.8,53.8,24.8,21.5,33,33,20,14,26,47.6,159.5,"20-29","Female"
"117",364,37,26.9,32.4,16.6,25.4,12.9,10,18.1,13.1,102.2,81,65.2,75.9,95.4,58.5,27.2,25.3,37.5,38.4,23.2,15.8,25,63,167.6,"20-29","Female"
"118",365,36.7,23.5,29.5,17.2,28.3,11.5,9.5,16.1,9.9,100.2,88.7,64.2,76.8,88.4,56,29,23.8,33.9,33.2,20.5,15,20,55.2,161.2,"20-29","Female"
"119",366,32.8,26.2,26.3,16.1,23.6,10.6,9.2,16.4,11.7,85.9,74.5,61,65.3,84.5,51.5,22.4,19.6,30.4,28.4,17.4,13.2,21,45,160,"20-29","Female"
"120",367,34.8,20.3,31,17.3,26.8,11.6,9.8,17.9,12.4,99.8,81.9,60.2,64.2,91.7,53.3,26,23.2,36,35.8,21.2,15.2,18,54,163.2,"18-19","Female"
"121",368,35,23.7,29,15.4,23.6,11.5,9.6,16.6,11.6,93.3,75.8,62.6,72.9,87.4,54,26.4,21.8,34.5,33,20.7,14.4,19,50.2,162.2,"18-19","Female"
"122",369,38.7,27.1,31.4,16.5,27.5,12.8,9.2,18.8,12.5,107.3,88,72.7,76.7,95.9,56.6,29.5,25.3,36.8,37.6,22.4,16.6,27,60.2,161.3,"20-29","Female"
"123",370,32.8,20.9,28.2,17.2,22.2,11.3,9.5,16,11.2,90,72.6,58.5,67.2,84.3,52.2,25,20.7,31.7,32,20.1,13.1,26,44.8,149.5,"20-29","Female"
"124",371,36.7,23,30.8,17,27.6,13.1,11,17,12.9,101.5,88,67.5,79.5,96.5,56.3,28.4,24.6,35.6,33.5,21.8,16,36,58.8,157.5,"30-39","Female"
"125",372,38.8,26.5,29.8,17.4,28.2,12,9.4,17.7,12.6,105.1,86,66.1,73.2,91.8,54.4,27.4,23.8,35,33,20.2,14.9,20,56.4,163.2,"20-29","Female"
"126",373,36.4,24.9,30.8,16.5,26.7,12.4,10.5,18.4,12.8,101,85.5,68,86.1,101,59.6,28,23.3,36.1,35.1,21.6,15.6,28,62,172.7,"20-29","Female"
"127",374,34,27.8,29.6,16.5,24.4,9.9,8.9,17,11.5,91.9,80.4,64,85,92.6,54.8,25.6,20.7,32.7,31.5,18.9,13.4,32,49.2,155,"30-39","Female"
"128",375,38.2,27.5,30,20.4,29.2,11.8,9.2,17.8,11.5,112.1,98.1,90.1,90.1,95.2,53.8,32.1,25.8,34.7,37.2,21.5,15.8,32,67.2,156.5,"30-39","Female"
"129",376,35.1,23.4,30.6,16.2,26.8,12.1,9.4,16.1,12.2,98.2,82,64.1,74.1,96,53.7,26.6,23.2,35.2,35,21,14.8,23,53.8,164,"20-29","Female"
"130",377,36,25.2,28.4,15.4,26.9,11.2,9.9,16.8,12.1,102.5,89,72.4,80.3,89.9,52.6,27.6,23.8,33.2,34.4,21.3,14.6,20,54.4,160.9,"20-29","Female"
"131",378,35.9,25.1,28.2,18.1,26.1,11.6,8.5,16.8,11,98.4,85.8,71,85,92.7,57.3,28.4,23.6,34.2,34,19.8,13.8,20,58,162.8,"20-29","Female"
"132",379,35,27.1,30.1,19.5,24.9,12.4,9.9,18.2,12.5,96.8,85.9,69.1,77.2,94.1,56.2,28.9,23.1,35,34.4,20,15,20,59.8,167,"20-29","Female"
"133",380,35.2,24.4,29.8,15.1,26,13,9.2,17.3,12.2,103.9,82.5,66.1,74.9,93.8,54.2,27.8,24,35.3,33.7,22,14.6,23,54.8,160,"20-29","Female"
"134",381,34.9,26.2,28.5,14.6,23.5,10.4,8.7,16,11.1,92.7,74.5,59.5,65.5,78.8,46.3,23.2,20.8,31.6,29.6,18.6,13.8,20,43.2,160,"20-29","Female"
"135",382,36,28.1,31,18.8,27.4,11.5,9.7,17.5,12.8,105,89.4,71.5,80.6,96,56.9,26.8,22,33.8,33.5,21.1,15.3,28,60.5,168.9,"20-29","Female"
"136",383,36.4,27.7,29.8,17,25,11.2,9,16.9,12.2,94,80.3,65,73.3,84.9,50.8,25,22.2,31.6,31.6,18.8,14.2,23,46.4,158.2,"20-29","Female"
"137",384,35.5,27.7,30.7,20.6,24.9,11.6,8.9,17.9,11.5,101.5,85.6,71.5,82,97.5,63,28.4,23.5,39.1,38.2,20.4,14.4,19,64.4,156,"18-19","Female"
"138",385,34.1,18.7,27.2,16.1,24.6,11.2,9.5,16.1,11.9,92,83,63,72,86,53,24.1,22,30,31.2,20.4,14.4,28,48.8,160,"20-29","Female"
